timestamp,time_ms,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,status
2026-07-12 16:39:47,181,118,-15,3771,-457,-186,103,OK
2026-07-12 16:39:47,666,110,-4,3762,-446,-190,100,OK
2026-07-12 16:39:48,848,110,-4,3752,-445,-191,105,OK
2026-07-12 16:39:48,987,115,-17,3783,-447,-190,92,OK
2026-07-12 16:39:48,1127,120,-10,3768,-439,-190,111,OK
2026-07-12 16:39:48,1267,104,-12,3773,-441,-194,89,OK
2026-07-12 16:39:48,1406,114,-12,3773,-439,-187,107,OK
2026-07-12 16:39:48,1546,110,-21,3752,-441,-183,97,OK
2026-07-12 16:39:48,1685,111,-6,3782,-448,-114,94,OK
2026-07-12 16:39:49,1868,99,0,3766,-437,-179,96,OK
2026-07-12 16:39:49,2007,115,-4,3763,-454,-198,87,OK
2026-07-12 16:39:49,2146,105,-3,3773,-434,-185,103,OK
2026-07-12 16:39:49,2286,113,-2,3774,-445,-186,96,OK
2026-07-12 16:39:49,2425,110,8,3762,-441,-192,104,OK
2026-07-12 16:39:49,2564,72,-23,3752,-427,-193,107,OK
2026-07-12 16:39:49,2704,96,-14,3761,-455,-347,760,OK
2026-07-12 16:39:50,2843,119,8,3769,-444,-239,95,OK
2026-07-12 16:39:50,2982,119,9,3773,-434,-271,99,OK
2026-07-12 16:39:50,3165,96,-11,3754,-429,-286,70,OK
2026-07-12 16:39:50,3305,42,-28,3783,-439,-121,105,OK
2026-07-12 16:39:50,3444,35,38,3830,-117,93,14,OK
2026-07-12 16:39:50,3584,-160,-331,3890,-570,-216,525,OK
2026-07-12 16:39:50,3724,1,-102,3822,-1656,-3393,-159,OK
2026-07-12 16:39:51,3864,-160,64,3947,507,1573,1038,OK
2026-07-12 16:39:51,4004,235,-16,3656,2404,-253,2002,OK
2026-07-12 16:39:51,4143,165,274,3752,897,46,1588,OK
2026-07-12 16:39:51,4283,7,204,3604,-1822,2323,593,OK
2026-07-12 16:39:51,4466,254,-34,3845,-2376,-729,853,OK
2026-07-12 16:39:51,4606,19,-80,3838,659,-1215,868,OK
2026-07-12 16:39:51,4802,269,-76,3697,451,-1120,419,OK
2026-07-12 16:39:52,4942,504,-482,3503,-43,3424,1136,OK
2026-07-12 16:39:52,5081,280,-67,3727,1057,2186,-512,OK
2026-07-12 16:39:52,5221,173,-47,3712,-1792,-951,613,OK
2026-07-12 16:39:52,5361,206,-22,3751,-157,-650,-487,OK
2026-07-12 16:39:52,5501,192,-48,3748,-74,-324,-381,OK
2026-07-12 16:39:52,5641,138,-20,3790,-438,205,147,OK
2026-07-12 16:39:53,5824,151,-42,3708,-320,-581,-54,OK
2026-07-12 16:39:53,5964,846,-107,3738,-514,-1848,154,OK
2026-07-12 16:39:53,6104,449,-36,3800,-318,-1436,-1030,OK
2026-07-12 16:39:53,6244,747,-32,3809,-580,-3459,373,OK
2026-07-12 16:39:53,6383,838,-62,3673,-326,-1624,31,OK
2026-07-12 16:39:53,6523,1219,81,3715,-405,-3159,-52,OK
2026-07-12 16:39:53,6663,1444,-11,3601,-142,-6118,50,OK
2026-07-12 16:39:53,6803,1645,13,3544,27,-3322,-110,OK
2026-07-12 16:39:54,6943,1869,29,3304,347,-2998,-135,OK
2026-07-12 16:39:54,7126,2016,98,3569,-57,-2893,117,OK
2026-07-12 16:39:54,7266,2228,181,3194,1188,-3453,-199,OK
2026-07-12 16:39:54,7406,2308,83,3139,-804,-1069,81,OK
2026-07-12 16:39:54,7546,2375,29,3025,-827,-1324,183,OK
2026-07-12 16:39:54,7686,2443,86,3063,-883,-1471,-113,OK
2026-07-12 16:39:55,7825,2556,9,3016,-717,-1722,263,OK
2026-07-12 16:39:55,7965,2639,10,2982,-1218,158,-26,OK
2026-07-12 16:39:55,8105,2606,-11,2964,-307,-366,145,OK
2026-07-12 16:39:55,8245,2570,-24,2938,-431,-470,134,OK
2026-07-12 16:39:55,8428,2593,-11,2906,-381,-592,181,OK
2026-07-12 16:39:55,8568,2609,10,2936,-405,-191,136,OK
2026-07-12 16:39:55,8708,2595,35,3046,-515,209,91,OK
2026-07-12 16:39:56,8847,2427,36,3146,-616,1753,-156,OK
2026-07-12 16:39:56,9044,1720,12,3482,-774,4454,35,OK
2026-07-12 16:39:56,9183,1569,20,3451,-348,3266,297,OK
2026-07-12 16:39:56,9323,1401,10,3618,-455,3403,180,OK
2026-07-12 16:39:56,9463,1183,-3,3637,-475,5063,496,OK
2026-07-12 16:39:56,9603,784,-23,3712,-352,3689,170,OK
2026-07-12 16:39:56,9742,591,-5,3740,-270,3519,50,OK
2026-07-12 16:39:57,9925,358,-11,3805,-380,2080,323,OK
2026-07-12 16:39:57,10065,317,-70,3725,-389,2615,-14,OK
2026-07-12 16:39:57,10205,242,-16,3774,-445,-73,129,OK
2026-07-12 16:39:57,10345,272,-20,3762,-436,-455,73,OK
2026-07-12 16:39:57,10485,440,-86,3739,-434,-1458,-78,OK
2026-07-12 16:39:57,10624,384,-14,3736,-334,-713,8,OK
2026-07-12 16:39:57,10820,115,-24,3709,-327,1062,263,OK
2026-07-12 16:39:58,10960,-155,-110,3772,-697,4841,262,OK
2026-07-12 16:39:58,11100,-388,-129,3652,-1396,6378,-16,OK
2026-07-12 16:39:58,11283,-651,-108,3680,-750,3510,-178,OK
2026-07-12 16:39:58,11423,-975,-81,3483,-387,3183,69,OK
2026-07-12 16:39:58,11563,-1617,-44,3424,-755,4482,504,OK
2026-07-12 16:39:58,11703,-1693,-67,3285,-409,4288,647,OK
2026-07-12 16:39:59,11843,-1827,-115,3202,-48,2992,-261,OK
2026-07-12 16:39:59,11983,-1942,-87,3179,27,1243,55,OK
2026-07-12 16:39:59,12122,-1987,-24,3166,-572,722,90,OK
2026-07-12 16:39:59,12262,-2008,-86,3132,-661,267,102,OK
2026-07-12 16:39:59,12445,-2002,-72,3130,-603,-125,54,OK
2026-07-12 16:39:59,12585,-2003,-81,3119,-493,-176,15,OK
2026-07-12 16:39:59,12725,-2029,-62,3140,-522,-58,80,OK
2026-07-12 16:40:00,12865,-2016,-71,3142,-473,-134,90,OK
2026-07-12 16:40:00,13005,-1981,-138,3138,-449,-496,123,OK
2026-07-12 16:40:00,13245,-1566,-30,3293,-715,-4138,365,OK
2026-07-12 16:40:00,13386,-1307,-15,3426,-666,-4780,-140,OK
2026-07-12 16:40:00,13526,-848,-75,3615,-356,-4238,177,OK
2026-07-12 16:40:00,13665,-222,-62,3755,56,-8320,-249,OK
2026-07-12 16:40:01,13849,130,-53,3735,-366,-6729,425,OK
2026-07-12 16:40:01,13989,383,-17,3840,-461,-3794,-588,OK
2026-07-12 16:40:01,14128,484,-29,3755,-520,198,21,OK
2026-07-12 16:40:01,14268,434,-44,3737,-366,414,193,OK
2026-07-12 16:40:01,14408,414,-9,3755,-483,453,230,OK
2026-07-12 16:40:01,14547,364,-20,3683,-530,-77,107,OK
2026-07-12 16:40:01,14687,346,-70,3756,-1019,1290,64,OK
2026-07-12 16:40:02,14827,287,-239,3872,-2480,-623,660,OK
2026-07-12 16:40:02,14967,319,-425,3800,-2251,-711,820,OK
2026-07-12 16:40:02,15162,268,-825,3840,-1853,139,11,OK
2026-07-12 16:40:02,15302,286,-933,3607,-3858,645,271,OK
2026-07-12 16:40:02,15442,358,-1138,3547,-5326,-1119,56,OK
2026-07-12 16:40:02,15582,390,-1301,3546,-3832,-956,-223,OK
2026-07-12 16:40:02,15722,406,-1487,3500,-2709,-421,235,OK
2026-07-12 16:40:03,15862,428,-1571,3415,-2998,-609,488,OK
2026-07-12 16:40:03,16002,401,-1964,3304,-2440,-527,223,OK
2026-07-12 16:40:03,16142,411,-1915,3232,-1470,-300,-172,OK
2026-07-12 16:40:03,16282,394,-1910,3315,-609,-233,-123,OK
2026-07-12 16:40:03,16465,415,-1922,3275,-489,-143,29,OK
2026-07-12 16:40:03,16605,384,-1894,3308,-157,-123,148,OK
2026-07-12 16:40:03,16745,400,-1904,3306,-340,-115,131,OK
2026-07-12 16:40:04,16885,367,-1935,3305,-453,-140,199,OK
2026-07-12 16:40:04,17024,379,-1875,3315,-415,-5,306,OK
2026-07-12 16:40:04,17164,386,-1873,3294,-508,-246,92,OK
2026-07-12 16:40:04,17304,351,-1832,3302,-363,-219,224,OK
2026-07-12 16:40:04,17444,431,-1818,3310,-220,-408,71,OK
2026-07-12 16:40:04,17627,319,-1374,3534,4764,-226,-734,OK
2026-07-12 16:40:04,17767,354,-1098,3506,5109,201,-502,OK
2026-07-12 16:40:05,17907,389,-562,3681,5202,-342,-453,OK
2026-07-12 16:40:05,18047,329,-479,3701,3091,738,-27,OK
2026-07-12 16:40:05,18186,558,-31,4962,1565,-961,339,OK
2026-07-12 16:40:05,18326,406,-145,4159,1030,-3361,371,OK
2026-07-12 16:40:05,18466,306,-182,3764,-646,193,-13,OK
2026-07-12 16:40:05,18606,323,-168,3751,-507,-79,59,OK
2026-07-12 16:40:05,18745,304,-155,3757,-322,-121,89,OK
2026-07-12 16:40:06,18929,299,-132,3797,-304,-485,159,OK
2026-07-12 16:40:06,19068,345,3,3752,391,-309,88,OK
2026-07-12 16:40:06,19208,348,-51,3885,1106,-813,107,OK
2026-07-12 16:40:06,19404,444,684,3615,5188,-1088,824,OK
2026-07-12 16:40:06,19543,434,945,3558,4536,-1030,595,OK
2026-07-12 16:40:06,19683,460,1144,3631,3359,-19,340,OK
2026-07-12 16:40:07,19823,513,1279,3432,3036,-608,593,OK
2026-07-12 16:40:07,19963,557,1593,3450,1754,-766,460,OK
2026-07-12 16:40:07,20103,578,1669,3322,1963,-659,316,OK
2026-07-12 16:40:07,20286,584,1838,3294,1014,-241,367,OK
2026-07-12 16:40:07,20425,615,1885,3214,1028,-107,91,OK
2026-07-12 16:40:07,20565,572,1896,3289,-572,-116,208,OK
2026-07-12 16:40:07,20705,614,1915,3261,-370,-103,99,OK
2026-07-12 16:40:08,20845,636,1859,3262,-768,-127,149,OK
2026-07-12 16:40:08,20984,626,1846,3264,-701,-248,105,OK
2026-07-12 16:40:08,21124,514,1720,3308,-1612,259,-99,OK
2026-07-12 16:40:08,21264,556,1370,3443,-5007,145,-169,OK
2026-07-12 16:40:08,21404,445,1180,3604,-6648,421,-279,OK
2026-07-12 16:40:08,21587,387,746,3662,-4521,75,-241,OK
2026-07-12 16:40:08,21727,370,357,3751,-3883,-642,-108,OK
2026-07-12 16:40:09,21867,245,244,3735,-3812,0,-246,OK
2026-07-12 16:40:09,22006,324,38,4220,-4221,1031,25,OK
2026-07-12 16:40:09,22146,343,74,3771,-467,7,266,OK
2026-07-12 16:40:09,22285,318,82,3786,-428,-175,84,OK
2026-07-12 16:40:09,22425,303,79,3780,-474,126,252,OK
2026-07-12 16:40:09,22564,315,71,3695,-399,-43,141,OK
2026-07-12 16:40:09,22704,692,-28,3619,-265,-1492,-256,OK
2026-07-12 16:40:10,22887,132,164,3989,406,550,752,OK
2026-07-12 16:40:10,23026,63,297,3882,999,877,-359,OK
2026-07-12 16:40:10,23166,-77,523,3829,1365,4067,310,OK
2026-07-12 16:40:10,23306,-253,-126,3964,-1893,-343,-1027,OK
2026-07-12 16:40:10,23446,-331,-61,3702,-4303,-773,-2347,OK
2026-07-12 16:40:10,23586,-6,-121,3749,-2721,-4665,139,OK
2026-07-12 16:40:10,23726,138,-227,3813,-401,-2938,636,OK
2026-07-12 16:40:11,23866,154,-43,3781,1321,687,-127,OK
2026-07-12 16:40:11,24005,77,-16,3755,-422,-244,-627,OK
2026-07-12 16:40:11,24188,101,-22,3789,-452,-227,-52,OK
2026-07-12 16:40:11,24328,108,-6,3776,-442,-189,87,OK
2026-07-12 16:40:11,24468,106,-17,3781,-441,-198,73,OK
2026-07-12 16:40:11,24607,111,-8,3779,-438,-186,104,OK
2026-07-12 16:40:11,24747,98,-8,3773,-444,-192,105,OK
2026-07-12 16:40:12,24886,92,-7,3763,-442,-189,85,OK
2026-07-12 16:40:12,25026,111,-4,3767,-439,-196,99,OK
2026-07-12 16:40:12,25222,94,-8,3759,-450,-189,100,OK
2026-07-12 16:40:12,25361,100,-13,3778,-445,-193,101,OK
2026-07-12 16:40:12,25544,99,-15,3774,-446,-189,102,OK
2026-07-12 16:40:12,25684,110,-25,3771,-448,-185,98,OK
2026-07-12 16:40:13,25824,111,-27,3764,-445,-190,97,OK
2026-07-12 16:40:13,25963,105,-11,3749,-447,-197,101,OK
2026-07-12 16:40:13,26103,107,-7,3770,-437,-196,100,OK
2026-07-12 16:40:13,26242,98,-13,3776,-435,-200,88,OK
2026-07-12 16:40:13,26382,95,-16,3780,-444,-202,99,OK
2026-07-12 16:40:13,26522,117,-20,3774,-447,-191,96,OK
2026-07-12 16:40:13,26661,93,-12,3768,-440,-188,100,OK
2026-07-12 16:40:14,26844,113,-10,3748,-454,-190,101,OK
2026-07-12 16:40:14,26984,103,-10,3773,-439,-182,97,OK
2026-07-12 16:40:14,27123,110,-2,3765,-454,-188,98,OK
2026-07-12 16:40:14,27263,105,-6,3774,-443,-189,100,OK
2026-07-12 16:40:14,27402,115,-2,3776,-436,-184,104,OK
2026-07-12 16:40:14,27542,120,-2,3756,-446,-183,106,OK
2026-07-12 16:40:14,27682,105,-12,3774,-446,-186,96,OK
2026-07-12 16:40:15,27821,99,-20,3753,-441,-193,97,OK
2026-07-12 16:40:15,27961,117,-20,3756,-443,-184,101,OK
2026-07-12 16:40:15,28144,103,-7,3766,-443,-190,98,OK
2026-07-12 16:40:15,28283,93,-11,3767,-437,-190,101,OK
2026-07-12 16:40:15,28423,113,-2,3758,-440,-189,96,OK
2026-07-12 16:40:15,28563,106,-10,3784,-441,-193,107,OK
2026-07-12 16:40:15,28702,103,-4,3766,-443,-196,106,OK
2026-07-12 16:40:16,28842,112,-5,3765,-441,-190,105,OK
2026-07-12 16:40:16,28981,107,0,3753,-436,-184,99,OK
2026-07-12 16:40:16,29121,111,-3,3751,-452,-199,100,OK
2026-07-12 16:40:16,29261,107,-14,3775,-447,-199,107,OK
2026-07-12 16:40:16,29400,99,-8,3766,-447,-192,98,OK
2026-07-12 16:40:16,29583,100,-13,3773,-445,-191,108,OK
2026-07-12 16:40:16,29723,125,-5,3761,-439,-208,-739,OK
2026-07-12 16:40:17,29862,112,-9,3770,-432,-227,-106,OK
2026-07-12 16:40:17,30002,106,-9,3741,-451,-189,95,OK
2026-07-12 16:40:17,30141,115,-9,3761,-438,-187,93,OK
2026-07-12 16:40:17,30281,113,-11,3764,-436,-194,103,OK
2026-07-12 16:40:17,30421,114,-1,3769,-440,-190,96,OK
2026-07-12 16:40:17,30560,272,-2,3767,-444,-191,79,OK
2026-07-12 16:40:17,30700,90,-15,3785,-402,-275,-2530,OK
2026-07-12 16:40:18,30883,38,-24,3807,-391,-294,-4080,OK
2026-07-12 16:40:18,31023,83,-26,3769,-421,-273,-1046,OK
2026-07-12 16:40:18,31162,117,-8,3778,-439,-242,-262,OK
2026-07-12 16:40:18,31302,128,6,3761,-444,-195,-54,OK
2026-07-12 16:40:18,31442,83,-33,3764,-425,-222,-1300,OK
